timestamp,isInUse,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1709332962056,0,-1.014404,-0.05419922,-0.08374023,-2.236641,0.389313,-1.152672
1709332964174,0,-0.9960938,-0.0612793,-0.03613281,-2.099237,0.09160305,-1.007634
1709332966284,0,-1.001465,-0.05834961,-0.05786133,-2.053435,0.129771,-1.030534
1709332968396,0,-0.9987793,-0.0612793,-0.06713867,-2.19084,0.2366412,-1.053435
1709332970511,0,-0.9956055,-0.05493164,-0.05810547,-2.091603,-0.1374046,-1.221374
1709332972619,0,-1.004639,-0.06567383,-0.09057617,-2.305344,0.5572519,-1.099237
1709332974736,0,-1.006104,-0.0546875,-0.07177734,-2.274809,0.2748091,-1.030534
1709332976851,0,-1.010742,-0.05712891,-0.05566406,-2.381679,0.5496183,-1.10687
1709332979472,0,-1.006592,-0.0534668,-0.06665039,-1.961832,0.2900764,-0.9923664
1709332981608,0,-1.005371,-0.05322266,-0.05810547,-2.137405,0.3358779,-1.045802
1709332983697,0,-0.9897461,-0.05810547,-0.04760742,-2.129771,0.2137404,-1.145038
1709332985807,0,-1.009277,-0.05688477,-0.06298828,-2.160305,0.259542,-1.167939
1709332987986,0,-0.9946289,-0.05249023,-0.05639648,-1.969466,0.1450382,-1.007634
1709332990091,0,-1.008301,-0.05932617,-0.06860352,-2.312977,0.3664122,-1.022901
1709332992142,0,-0.9973145,-0.06201172,-0.05566406,-2.320611,0.02290076,-1.328244
1709332994251,0,-0.984375,-0.04956055,-0.0637207,-2.160305,0.2442748,-1.167939
1709332996306,0,-1.004883,-0.05957031,-0.05810547,-2.21374,0.259542,-1.061069
1709332998416,0,-0.9975586,-0.06201172,-0.06518555,-2.175573,0.05343511,-1.145038
1709333000523,0,-0.9987793,-0.05541992,-0.0715332,-2.175573,0.351145,-1.122137
1709333002581,0,-1.003906,-0.05102539,-0.07275391,-2.328244,-0.01526718,-1.290076
1709333004704,0,-0.9941406,-0.0546875,-0.05224609,-2.312977,0.129771,-1.137405
1709333007320,0,-1.006836,-0.05981445,-0.08569336,-2.229008,0.5419847,-1.007634
1709333009491,0,-1.005371,-0.06079102,-0.03979492,-2.099237,0.1984733,-1
1709333011604,0,-0.9978027,-0.05908203,-0.0715332,-2.083969,0.09160305,-1.022901
1709333013716,0,-1.004883,-0.04760742,-0.06518555,-2.557252,0.2824428,-1.068702
